ISSN	期刊名	期刊名简写	IF	深大是否订阅该期刊	中科院分区	大类学科	小类学科	更新规律	网址
1058-4838	CLINICAL INFECTIOUS DISEASES	CLIN INFECT DIS	9.117	是	1区	医学	免疫学		https://academic.oup.com/cid/advance-articles
0300-5771	INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	INT J EPIDEMIOL	8.36	是	1区	医学	公共卫生、环境卫生与职业卫生		https://academic.oup.com/ije/advance-articles
0027-8874	JNCI-Journal of the National Cancer Institute	JNCI-J NATL CANCER I	11.238	是	1区	医学	肿瘤学		https://academic.oup.com/jnci/advance-articles
1063-5157	SYSTEMATIC BIOLOGY	SYST BIOL	8.523	是	1区	生物	进化生物学		https://academic.oup.com/sysbio/advance-articles
0305-1048	NUCLEIC ACIDS RESEARCH	NUCLEIC ACIDS RES	11.561	是	1区	生物	生化与分子生物学		https://academic.oup.com/nar/advance-articles
0737-4038	MOLECULAR BIOLOGY AND EVOLUTION	MOL BIOL EVOL	10.217	是	1区	生物	生化与分子生物学		https://academic.oup.com/mbe/advance-articles
2095-5138	National Science Review	NATL SCI REV	9.408	是	2区	综合性期刊	综合性期刊		https://academic.oup.com/nsr/advance-articles
2190-6009	Journal of Cachexia Sarcopenia and Muscle	J CACHEXIA SARCOPENI	12.511	是	1区	医学	老年医学		http://www.cachexia.info/new/online-first-article
1868-4483	Translational Stroke Research	TRANSL STROKE RES	8.266	否	1区	医学	临床神经病学		https://link.springer.com/journal/12975/onlineFirst/page/1
0001-6322	ACTA NEUROPATHOLOGICA	ACTA NEUROPATHOL	15.876	否	1区	医学	临床神经病学		https://link.springer.com/search?facet-content-type=Article&facet-journal-id=401&sortOrder=newestFirst
2405-4712	Cell Systems	CELL SYST	8.982	是	1区	生物	生化与分子生物学		https://www.sciencedirect.com/journal/cell-systems
0006-4971	BLOOD	BLOOD	15.132	否	1区	医学	血液学		http://www.bloodjournal.org/content/early/recent
1838-7640	Theranostics	THERANOSTICS	8.537	是	1区	医学	医学：研究与实验		http://www.thno.org/toc/acceptms
